id,name,description,country,iata,icao,latitude,longitude,elevation
8053,Khwai River Lodge,Khwai River,Botswana,KHW,FBKR,-19.14917,23.7875,3000
8054,Spremberg-Welzow Airport,Welzow,Germany,,EDCY,51.5756,14.1369,374
8055,Taichung Airport,Taichung,Taiwan,TXG,RCLG,24.1863,120.654,369
8056,Columbia County,Hudson NY,United States,HCC,,42.2913,-73.7103,198
8057,Sasovo,Sasovo,Russia,,,54.3539,41.9739,365
8058,Hong Kong Macau Ferry Terminal,Hong Kong,Hong Kong,,,22.28937,114.15215,0
8059,Hong Kong Macau Ferry Terminal,Hong Kong,Hong Kong,,,22.28937,114.15215,0
8060,Macau Taipa Ferry Terminal,Macau,Macau,,,22.1633,113.57404,0
8061,Macau Taipa Ferry Terminal,Macau,Macau,,,22.1633,113.57404,0
8062,Wheeling Ohio County Airport,Wheeling,United States,HLG,,40.175,-80.6463,1195
8063,Fitzgerald Municipal Airport,Fitzgerald,United States,FZG,KFZG,31.6839,-83.2709,365
8064,Perry-Foley Airport,Perry,United States,40J,,30.06928,-83.58058,44
8065,Cairo-Grady County Airport,Cairo,United States,70J,,30.88798,-84.15474,265
8066,Pacific Station,Vancouver,Canada,,,49.2739,-123.0986,0
8067,Tamar Mepe Airport,Mestia,Georgia,,,43.06848,42.75424,100
8068,Samsun,Samsun,Turkey,SSX,,41.1641,36.1814,521
8069,Ye,Ye,Burma,XYE,VYYE,15.25,97.85,25
8070,Isla San Felix,Isla San Felix,Chile,,SCFX,-26.29386,-80.09621,165
8071,Kingston Train Station,Kingston,Canada,XEG,KGST,44.25694,-76.53694,282
8072,Dorval Railway Station,Dorval,Canada,XAX,,45.44861,-73.74111,0
8073,Brockville Megabus Stop,Brockville,Canada,,BRKM,44.6003,-75.7039,0
8074,Brockville VIA Station,Brockville,Canada,,BRKV,44.5919,-75.69334,0
8075,Shaybah airport,Shaybah,Saudi Arabia,,OESB,22.5147,53.9597,262
8076,Dubai Al Maktoum,Dubai,United Arab Emirates,DWC,OMDW,24.55056,55.10317,170
8077,Aransas County Airport,Rockport,United States,RKP,KRKP,28.08622,-97.04369,24
8078,Bandanaira Airport,Bandanaira-Naira Island,Indonesia,NDA,,-4.53333,129.9,37
8079,Megeve Airport,Verdun,France,MVV,LFHM,45.8208,6.65222,4823
8080,Meribel Airport,Ajaccio,France,MFX,LFKX,45.4069,6.58056,5636
8081,Oldbury,Oldbury,United Kingdom,,,52.55,-2.0166,499
8082,Tianyang,Baise,China,AEB,,23.72,106.96,485
8083,Okaukuejo Airport,Okaukuejo,Namibia,OKF,FYOO,-19.1492,15.9119,3911
8084,Mokuti Lodge Airport,Mokuti Lodge,Namibia,OKU,FYMO,-18.8128,17.0594,3665
8085,Rotenburg Wuemme Airport,Rotenburg Wuemme,Germany,,EDXQ,53.1283,9.34861,98
8086,Wipperfuerth-Neye Airport,Wipperfuerth,Germany,,EDKN,51.1242,7.37361,863
8087,Osnabrueck-Atterheide Airport,Osnabrueck,Germany,,EDWO,52.2864,7.96972,285
8088,Ballenstedt Airport,Ballenstedt,Germany,,EDCB,51.7458,11.2297,535
8089,Hartenholm Airport,Hasenmoor,Germany,,EDHM,53.915,10.0356,108
8090,Ganderkesee Atlas Airfield Airport,Ganderkesee,Germany,,EDWQ,53.0361,8.50556,95
8091,Nienburg-Holzbalge Airport,Nienburg Weser,Germany,,EDXI,52.7097,9.1625,82
8092,Damme Airport,Damme,Germany,,EDWC,52.4875,8.18556,151
8093,Borkenberge Airport,Duelmen,Germany,,EDLB,51.78,7.288,157
8094,Obermehler-Schlotheim Airport,Obermehler,Germany,,EDCO,51.2678,10.6347,909
8095,Hodenhagen Airport,Hodenhagen,Germany,,EDVH,52.7611,9.60556,79
8096,Grube Airport,Grube,Germany,,EDHB,54.2444,11.0247,7
8097,Toender Airport,Toender,Denmark,,EKTD,54.9297,8.84057,0
8098,Celle-Arloh Airport,Celle,Germany,,EDVC,52.6872,10.1114,207
8099,Uelzen Airport,Uelzen,Germany,,EDVU,52.9839,10.465,246
8100,Hamm-Lippewiesen Airport,Hamm,Germany,,EDLH,51.6897,7.81611,190
8101,Luesse Airport,Luesse,Germany,,EDOJ,52.1411,12.6647,217
8102,Porta Westfalica Airport,Bad Oeynhausen,Germany,,EDVY,52.2208,8.85917,148
8103,Brilon Hochsauerlandkreis Airport,Brilon,Germany,,EDKO,51.4025,8.64167,1509
8104,Hameln Pyrmont Airport,Bad Pyrmont,Germany,,EDVW,51.9667,9.29167,1178
8105,Nordholz Spieka Airport,Cuxhaven,Germany,,EDXN,53.7672,8.64361,72
8106,Koethen Airport,Koethen,Germany,,EDCK,51.7211,11.9528,305
8107,St. Michaelisdonn Airport,Sankt Michaelisdonn,Germany,,EDXM,53.9781,9.14472,125
8108,Salzgitter Druette Airport,Salzgitter,Germany,,EDVS,52.1544,10.4267,328
8109,Karlshoefen Airport,Karlshoefen,Germany,,EDWK,53.3328,9.02833,20
8110,Oldenburg Hatten Airport,Oldenburg,Germany,,EDWH,53.0689,8.31361,26
8111,Rinteln Airport,Rinteln,Germany,,EDVR,52.1753,9.05333,180
8112,Muenster-Telgte Airport,Muenster,Germany,,EDLT,51.9444,7.77389,177
8113,St. Peter-Ording Airport,Sankt Peter-Ording,Germany,PSH,EDXO,54.3089,8.68694,7
8114,Luechow-Rehbeck Airport,Luechow,Germany,,EDHC,53.0161,11.1444,49
8115,Klietz-Scharlibbe Airport,Scharlibbe,Germany,,EDCL,52.7094,12.0733,95
8116,Burg Airport,Burg,Germany,,EDBG,52.2417,11.8561,174
8117,Crisp County Cordele Airport,Cordele,United States,CKF,KCKF,31.98883,-83.77392,310
